Census Tract,Population,Housing Units in Tract,"LI, LA - 1 mile radius","LI, LA - 0.5 mile radius",Low Income Tracts,Poverty Rate (%),Median Family Income,LA - 1 mile radius,LA - 0.5 mile radius,"LA,LI - 0.5 mile radius","LA - Kids population, 0.5 mile radius","LA - Senior population, 0.5 mile radius","LA - Kids population, 1 mile radius","LA - Senior population, 1 mile radius","LA - Housing Units w/ Snap Benefits, 0.5 mile radius","LA - Housing Units w/ Snap Benefits, 1 mile radius",Total Count of Housing w/ Snap Benefits
42101012204,3564,1774,0,1,1,20.7715133531157,68438.0,0,1,316.545371055603,186.833658128977,247.261801108718,,,92.5192992687225,,292
42101012500,5210,3302,0,0,0,12.6402243589744,145781.0,0,0,,,,,,,,164
42101013100,1529,682,0,0,1,35.447051363348095,48942.0,0,0,,,,,,,,218
42101013200,2914,963,0,0,1,31.25,33199.0,0,0,,,,,,,,424
42101013300,2854,1427,0,0,1,33.148364485981304,114464.0,0,0,,,,,,,,222
42101013401,2288,1419,0,0,0,7.464553794829019,146719.0,0,0,,,,,,,,0
42101013402,2922,1641,0,0,0,3.25765054294176,155221.0,0,0,,,,,,,,36
42101013500,3222,1401,0,0,0,10.6849975880367,97404.0,0,0,10.7556416988373,16.1513409614563,7.70118951797485,,,6.36819005012512,,182
42101013601,2677,1480,0,0,0,3.57008643367155,164167.0,0,0,,,,,,,,0
42101013602,3503,1798,0,0,0,5.98356445814073,115132.0,0,1,145.622237563133,93.7614736557007,66.9656136035919,,,24.1928308606148,,114
42101013700,4813,1993,0,0,1,29.9243931555909,60369.0,0,0,,,,,,,,620
42101013800,2061,827,0,1,1,27.2349272349272,44688.0,0,1,946.893195867538,426.159930616617,171.660459131002,,,190.957250237465,,270
42101013900,3764,1287,0,1,1,37.3279816513761,41371.0,0,1,1123.32673001289,592.791534125805,149.251362919807,,,235.975299596786,,432
42101014000,3010,1268,0,0,1,44.249854057209596,31223.0,0,0,,,,,,,,248
42101014100,2094,937,0,0,1,28.780836610654298,48850.0,0,0,,,,,,,,574
42101014200,3570,1813,0,0,0,4.55458807769591,131250.0,0,0,4.17455899715424,0.491951897740364,1.47585564851761,,,0.210804827511311,,25
42101014300,1439,680,0,0,0,14.3167028199566,116912.0,0,1,257.745972307865,150.523133878422,134.235031236341,,,45.3568320398335,,67
42101014400,3105,1307,0,0,1,27.3412001004268,63224.0,0,0,,,,,,,,377
42101014500,2464,659,0,0,1,46.299585553582,39107.0,0,0,,,,,,,,323
42101014600,4289,1163,0,0,1,30.5907937658572,55917.0,0,0,,,,,,,,242
42101014700,3939,958,0,0,1,71.6142557651992,11630.0,0,0,,,,,,,,336
42101014800,785,372,0,0,1,48.3009708737864,36181.0,0,0,28.2730598449707,5.93867635726929,12.3558368682861,,,9.20715117454529,,202
